기간	대분류	분류	매우 불만족	약간 불만족	보통	약간 만족	매우 만족	10점 평균
2019	서울시	서울시	0.8	8.5	50.4	33.5	6.8	5.93
2019	성별	남자	0.8	8.5	51.5	32.7	6.5	5.89
2019	성별	여자	0.8	8.5	49.4	34.3	7	5.96
2019	연령별	10대	0.6	8.5	55	30.6	5.2	5.79
2019	연령별	20대	1	10	51.2	32.4	5.4	5.78
2019	연령별	30대	0.8	7.9	51.3	33.2	6.9	5.94
2019	연령별	40대	0.6	8.5	50.7	32.1	8.1	5.97
2019	연령별	50대	0.9	8.3	51	33.3	6.6	5.91
2019	연령별	60대 이상	0.8	8.1	47.5	36.4	7.2	6.02
2019	학력별	중졸 이하	1	8.3	48.8	36.3	5.7	5.94
2019	학력별	고졸 이하	0.9	8.5	49.7	33.6	7.3	5.94
2019	학력별	대졸 이하	0.7	8.4	51.3	33	6.6	5.91
2019	학력별	대학원 이상	1.1	11.1	48	27.1	12.7	5.98
2019	소득별	100만원 미만	1.1	9.2	40.7	40.9	8.1	6.14
2019	소득별	100-200만원 미만	0.6	9.2	48	34.8	7.3	5.98
2019	소득별	200-300만원 미만	1.1	8.2	51.4	33	6.4	5.88
2019	소득별	300-400만원 미만	0.9	9.6	50.7	31.7	7	5.85
2019	소득별	400-500만원 미만	0.6	7.5	50	34.6	7.2	6.01
2019	소득별	500만원 이상	0.7	8.4	51.4	33.1	6.5	5.9
2019	혼인상태별	기혼	0.9	8	50.2	33.6	7.3	5.96
2019	혼인상태별	미혼	0.7	9.8	52.6	31.3	5.7	5.79
2019	혼인상태별	이혼/사별/기타	0.7	7.5	46.2	38.6	7	6.09
2019	지역대분류	도심권	0.5	9.9	52.7	31.7	5.3	5.78
2019	지역대분류	동북권	0.8	8.4	53.6	31.4	5.8	5.83
2019	지역대분류	서북권	0.5	6.4	49.3	35.3	8.4	6.11
2019	지역대분류	서남권	1.2	8.5	52.2	33	5	5.8
2019	지역대분류	동남권	0.5	9.3	42.7	37.1	10.4	6.19
2019	종로구	종로구	0.7	3.8	54.4	37.9	3.2	5.98
2019	중구	중구	0.4	17.6	30.2	48.5	3.2	5.91
2019	용산구	용산구	0.4	9.7	64.3	17.6	7.9	5.57
2019	성동구	성동구	1	9.4	57	31.1	1.5	5.57
2019	광진구	광진구	0.8	12.5	40.3	41.3	5.1	5.93
2019	동대문구	동대문구	0.5	13.2	54.2	30.7	1.3	5.48
2019	중랑구	중랑구	1.3	7.4	44.5	34.7	12.1	6.23
2019	성북구	성북구	0.7	9.1	62.5	26.9	0.8	5.45
2019	강북구	강북구	0.4	2.8	67.5	26	3.3	5.73
2019	도봉구	도봉구	0.5	11.8	49.7	31.2	6.8	5.8
2019	노원구	노원구	0.8	3.5	54	29.9	11.8	6.21
2019	은평구	은평구	1	10.6	47.3	26.7	14.5	6.08
2019	서대문구	서대문구	0.1	3.7	51.9	40.7	3.7	6.1
2019	마포구	마포구	0.4	3.4	49.7	41.9	4.6	6.17
2019	양천구	양천구	0.6	2.2	53.7	42.4	1	6.03
2019	강서구	강서구	0.8	4.9	52.9	37.1	4.3	5.98
2019	구로구	구로구	1.4	9.8	50.9	25.7	12.3	5.94
2019	금천구	금천구	4.9	14.9	45	30.7	4.6	5.38
2019	영등포구	영등포구	1.8	12.8	56.3	25.1	4	5.42
2019	동작구	동작구	0.1	6.4	60.1	28.1	5.3	5.8
2019	관악구	관악구	1.1	12.9	45.6	36.2	4.3	5.74
2019	서초구	서초구	0.4	10.7	46.8	31.9	10.2	6.02
2019	강남구	강남구	0.2	8.8	38.5	39.8	12.7	6.4
2019	송파구	송파구	0.8	8.3	39	40.5	11.5	6.34
2019	강동구	강동구	0.4	10.1	49.6	33.7	6.2	5.88
