구별,CCTV 개수,최근 3년 CCTV 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,인구 별 CCTV 비율,오차
강남구,5221,191.6759776536313,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,0.00959592710697777,2579.0132675601353
송파구,1586,159.15032679738562,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,0.0023438204272964933,1439.5556674965792
관악구,3985,100.85685483870968,514555,498574,15981,78206,3.105790440283352,15.198763980526863,0.00774455597555169,1428.4417426274476
도봉구,858,150.1457725947522,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,0.0026055268751897964,1162.6269282633448
중랑구,1068,,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,0.0026634147071366047,1160.0187992115511
강서구,1617,128.38983050847457,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,0.0027428350431525812,1156.4736819923337
구로구,3227,138.68343195266272,435751,405579,30172,69312,6.924137867727211,15.906331827121454,0.0074056054948812506,898.4168712832034
성동구,2679,87.60504201680672,302695,295591,7104,45372,2.346916863509473,14.989345711029253,0.0088504930705826,735.3397015763383
강북구,1265,120.38327526132404,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,0.004034444267262,710.0631462684187
노원구,1906,237.94326241134752,529532,525486,4046,84612,0.7640709154498689,15.97863774049538,0.0035994047574084286,693.8857978765527
성북구,3003,128.19148936170214,449871,439719,10152,73370,2.256646905446228,16.309119725432403,0.006675246904112512,633.5685791074347
광진구,1581,89.34131736526946,361923,348064,13859,50047,3.8292675513852394,13.828079453364388,0.004368332490612644,534.0032622328986
강동구,1879,120.53990610328637,462275,458058,4217,68798,0.9122275701692715,14.882483370288249,0.00406468011465037,526.3154305347916
서초구,2835,184.9246231155779,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,0.006593099919766509,523.0686255157616
은평구,2962,232.0627802690583,485842,481546,4296,84353,0.8842380856327778,17.362228872761104,0.006096632238464357,488.506686908102
동작구,1780,126.17534942820838,404617,393554,11063,64674,2.734190604942452,15.984004626597498,0.004399221980292474,458.51438023235096
양천구,2775,110.8662613981763,460048,456240,3808,64804,0.8277397141167878,14.086356206308906,0.0060319792717281676,376.1271435923636
용산구,2063,829.2792792792793,244953,229786,15167,39995,6.191800059603271,16.32762203361461,0.008422023816813838,286.3837587160856
영등포구,2495,71.7136958017894,405982,375630,30352,60826,7.476193525821342,14.982437645018745,0.006145592661743624,252.53675866142248
마포구,1935,108.96328293736501,383494,373508,9986,54053,2.603952082692298,14.09487501760132,0.00504571127579571,242.4068394654414
금천구,1634,88.90173410404626,249641,232157,17484,39361,7.003657251813604,15.767041471553151,0.006545399193241495,156.1783371564361
서대문구,2121,139.3905191873589,323860,313212,10648,53869,3.287840424874946,16.633421848947076,0.006549126165627123,116.11065739077571
동대문구,2003,,358679,344416,14263,61408,3.9765361228284903,17.12060087153137,0.005584380462753604,102.61856961121339
중구,1544,68.7431693989071,135321,125800,9521,24265,7.035862874202821,17.93143710141072,0.011409906814167793,84.54239666324293
종로구,1471,177.54716981132074,159842,149952,9890,28396,6.187360018017793,17.765042979942695,0.0092028378023298,59.39534926041301
