공원,지역,공원주소,lat,lng,면적,세대,인구,인구 당 공원 면적
남산도시자연공원,중구,서울특별시 중구 삼일대로 231(예장동),37.5501402,126.9903773,2896887,63594,135321,21.407519897133483
길동생태공원,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,37.5403935,127.1547791,80683,194602,462275,0.17453463847277054
서울대공원,과천시,경기도 과천시 대공원광장로 102,37.4264494,127.01984650000001,9132690,22631,61309,148.96165326461042
서울숲,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,37.5430717,127.0417982,480994,136096,302695,1.589038471068237
월드컵공원,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),37.571805,126.87890700000001,2284085,178495,383494,5.9559862735792475
광화문시민열린마당,종로구,서울특별시 종로구 세종로 76-2,37.575044899999995,126.9780227,8948,74861,159842,0.055980280527020435
진관근린공원(구파발폭포),은평구,서울특별시 은평구 진관동 393,37.6370244,126.9192155,983791,213039,485842,2.0249196240753164
중마루근린공원,영등포구,서울특별시 영등포구 영등포동2가 222,37.519832,126.9112668,6456,182087,405982,0.01590218285539753
응봉공원,성동구,서울특별시 성동구 금호동1가 산1-72,37.5572281,127.0217653,80309,136096,302695,0.26531326913229486
매화근린공원,강서구,서울특별시 강서구 등촌동 630-14,37.5575833,126.86115,1980,266366,589536,0.00335857352222765
성수근린공원,성동구,서울특별시 성동구 성수2가 3동 302-25,37.5448144,127.05240230000001,5197,136096,302695,0.017169097606501593
샛마을근린공원,강동구,서울특별시 강동구 명일1동 288,37.5504807,127.1471618,11467,194602,462275,0.024805581093504947
여의도근린공원,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),37.526129,126.922377,229539,182087,405982,0.5653920617170219
간데메근린공원,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),37.57324379999999,127.04886440000001,15179,167232,358679,0.04231917675693308
훈련원근린공원,중구,서울특별시 중구 을지로 227,37.5675245,127.0038188,16734,63594,135321,0.12366151595096105
영등포근린공원,영등포구,서울특별시 영등포구 신길로 275,37.515423,126.91066200000002,61544,182087,405982,0.1515929277652704
보라매근린공원,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),37.492333,126.91828899999999,424106,184193,404617,1.0481665377381573
어린이대공원,광진구,서울특별시 광진구 능동로 216(어린이대공원),37.5498987,127.0809212,560552,166857,361923,1.548815632054332
천호근린공원,강동구,서울특별시 강동구 올림픽로 702(천호공원),37.5444741,127.1263451,26696,194602,462275,0.057749175274457845
용산가족공원,용산구,서울특별시 용산구 서빙고로 185,37.522226,126.98333500000001,75900,112451,244953,0.30985536000783825
독립근린공원,서대문구,서울특별시 서대문구 통일로251(독립공원),37.5738289,126.956771,113021,144494,323860,0.34898104119063794
낙산근린공원,종로구,서울특별시 종로구 낙산길 41 (우) 03085,37.580477,127.00758700000002,201779,74861,159842,1.262365335769072
양재시민의숲,서초구,서울특별시 서초구 매헌로 99 (양재동),37.471225,127.03504199999999,258991,173483,429995,0.6023116547866836
관악산도시자연공원,관악구,서울특별시 관악구 관악로 1(관악산공원),37.445208,126.96413000000001,10420819,275248,514555,20.25209938684883
효창근린공원,용산구,서울특별시 용산구 효창원로 177-18,37.545234,126.95993,171294,112451,244953,0.6992933338232232
감로천생태공원(관악산),금천구,서울특별시 금천구 독산4동 371?375 373일대,37.469625,126.9079509,15000,113887,249641,0.06008628390368569
개운산근린공원,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),37.596583700000004,127.0252858,297926,195379,449871,0.662247622096112
개웅산근린공원,구로구,서울특별시 구로구 오류동 산13-1,37.4888943,126.84857340000002,411972,179792,435751,0.9454298441082177
경희궁,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),37.570772999999996,126.9685341,98470,74861,159842,0.6160458452722063
국립현충원,동작구,서울특별시 동작구 사당2동 산41-2,37.4998621,126.97368490000001,2038741,184193,404617,5.038693381642393
계남근린공원,양천구,서울특별시 양천구 신정동 산44-2일대,37.513835799999995,126.84796429999999,603715,180309,460048,1.3122869787500435
고척근린공원,구로구,서울특별시 구로구 고척로45길 39(고척공원),37.5042944,126.85214950000001,108120,179792,435751,0.24812335485173873
파리근린공원,양천구,서울특별시 양천구 목동동로 363 ,37.5349739,126.87639320000001,29619,180309,460048,0.064382412270024
허준공원,강서구,서울특별시 강서구 허준로5길 42,37.5679874,126.8526745,29843,266366,589536,0.05062116647668675
궁동근린공원,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,37.5690506,126.9229851,126026,144494,323860,0.38913728154140675
궁산근린공원,강서구,서울특별시 강서구 가양동 산4-7,37.5735645,126.838952,135002,266366,589536,0.22899704174130164
까치산근린공원,동작구,서울특별시 동작구 사당동 산32,37.4845836,126.96407350000001,384026,184193,404617,0.9491098989908976
꿩고개근린공원,강서구,서울특별시 강서구 방화동 산110,37.5801585,126.8157075,180000,266366,589536,0.30532486565705913
노량진공원,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),37.510234000000004,126.928607,416031,184193,404617,1.0282093930803697
답십리근린공원,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,37.5750896,127.0626512,160720,167232,358679,0.4480886809654315
대모산도시자연공원,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,37.4796489,127.0809639,2277252,234021,544085,4.185471020153101
탑골근린공원,종로구,서울특별시 종로구 종로 99,37.5710052,126.98828529999999,19599,74861,159842,0.12261483214674491
갈산근린공원,양천구,서울특별시 양천구 신정동 162-56,37.5082119,126.8689146,138596,180309,460048,0.30126421590790525
천마근린공원,송파구,서울특별시 송파구 마천동 산 1-1,37.5005173,127.1586644,185295,281417,676673,0.27383241240599226
도곡근린공원,강남구,서울특별시 강남구 도곡동 산31-1,37.490312700000004,127.0450338,254648,234021,544085,0.4680298115184208
도산근린공원,강남구,서울특별시 강남구 도산대로45길 20(도산공원),37.524675200000004,127.03502959999999,29816,234021,544085,0.05480026098863229
