Rank,Name,Menu,price,address,phone,website
1,BLT,Old Oak Tap,10, 2109 W Chicago Ave, 773-772-0406,theoldoaktap.com
2,Fried Bologna,Au Cheval,9, 800 W Randolph St, 312-929-4580,aucheval.tumblr.com
3,Woodland Mushroom,Xoco,9,50 445 N Clark St, 312-334-3688,rickbayless.com
4,Roast Beef,Al’s Deli,9,40 914 Noyes St, 847-475-9400,alsdeli.net
5,PB&L,Publican Quality Meats,10, 825 W Fulton Mkt, 312-445-8977,publicanqualitymeats.com
6,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,7,25 100 E Walton St, 312-649-6717,
7,Lobster Roll,Acadia,16, 1639 S Wabash Ave, 312-360-9500,acadiachicago.com
8,Smoked Salmon Salad,Birchwood Kitchen,10, 2211 W North Ave, 773-276-2100,birchwoodkitchen.com
9,Atomica Cemitas,Cemitas Puebla,9, 3619 W North Ave, 773-772-8435,cemitaspuebla.com
10,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,17, 3267 S Halsted St, 312-929-2486,nanaorganic.com
11,Ham and Raclette Panino,Lula Cafe,11, 2537 N Kedzie Blvd, 773-489-9554,lulacafe.com
12,Breaded Steak,Ricobene’s,5,49 Multiple locations,,ricobenespizza.com
13,The Hawkeye,Frog n Snail,14, 3124 N Broadway, 773-661-9166,frognsnail.com
14,Chicken Dip,Crosby’s Kitchen,10, 3455 N Southport Ave, 773-883-2525,crosbyskitchenchicago.com
15,Wild Boar Sloppy Joe,Longman & Eagle,13, 2657 N Kedzie Ave, 773-276-7110,longmanandeagle.com
16,Meatball Sub,Bari,4,50 1120 W Grand Ave, 312-666-0730,bariitaliansubs.com
17,Corned Beef,Manny’s,11,95 1141 S Jefferson St, 312-939-2855,mannysdeli.com
18,Turkey Club,Eggy’s,11,50 333 E Benton Pl, 773-234-3449,eggysdiner.com
19,Falafel,Old Jerusalem,6,25 1411 N Wells St, 312-944-0459,oldjerusalemchicago.com
20,Crab Cake,Mindy’s HotChocolate,15, 1747 N Damen Ave, 773-489-1747,hotchocolatechicago.com
21,Chicken Schnitzel,Olga’s Delicatessen,5, 3209 W Irving Park Rd, 773-539-8038,
22,Shawarma,Dawali Mediterranean Kitchen,6, Multiple locations,,dawalikitchen.com
23,Toasted Pimiento Cheese,Big Jones,8, 5347 N Clark St, 773-275-5725,bigjoneschicago.com
24,Vegetarian Panino,La Pane,5,99 2954 W Irving Park Rd, 773-539-5321,lapanechicago.com
25,Cali Chèvre,Pastoral,7,52 Multiple locations,,pastoralartisan.com
26,Pastrami,Max’s Deli,11,95 191 Skokie Valley Rd, 847-831-0600,deli.com
27,The Fredo,Lucky’s Sandwich Co.,7,50 Multiple locations,,luckysandwich.com
28,Smoked Ham,City Provisions,12,95 1818 W Wilson Ave, 773-293-2489,cityprovisions.com
29,Jibarito,Papa’s Cache Sabroso,7, 2517 W Division St, 773-862-8313,papascachesabroso.com
30,Shaved Prime Rib,Bavette’s Bar & Boeuf,21, 218 W Kinzie St, 312-624-8154,
31,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,9,79 Multiple locations,,hannahsbretzel.com
32,Tuna Salad,La Fournette,9,75 1547 N Wells St, 312-624-9430,lafournette.com
33,Paramount Reuben,Paramount Room,13, 415 N Milwaukee Ave, 312-829-6300,paramountroom.com
34,The Istanbul,Melt Sandwich Shoppe,7,95 1840 N Damen Ave, 773-681-9914,meltsandwichshoppechicago.com
35,B.A.D.,Floriole Cafe & Bakery,9, 1220 W Webster Ave, 773-883-1313,floriole.com
36,Duck Confit and Mozzarella,First Slice Pie Café,9, 5357 N Ashland Ave, 773-275-4297,firstslice.org
37,Croque Monsieur,Troquet,8, 1834 W Montrose Ave, 773-334-5664,troquetchicago.com
38,Green Garbanzo,Grahamwich,8, 615 N State St, 312-265-0434,grahamwich.com
39,The Hen House,Saigon Sisters,7, Multiple locations,,saigonsisters.com
40,Tuscan Chicken,Rosalia’s Deli,6, 241 N York Rd, 630-516-3354,rosaliasdeli.com
41,The Marty ,Z&H MarketCafe,7,25 1323 E 57th St, 773-538-7372,zhmarketcafe.com
42,Whitefish,Market House on the Square,11, 655 Forest Ave, 847-234-8800,themarkethouse.com
43,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,6, Hotel Lincoln, 312-254-4665,jdvhotels.com
44,Cauliflower Melt,Marion Street Cheese Market,9, 100 S Marion St, 708-725-7200,marionstreetcheesemarket.com
45,Cubana,Cafecito,5,49 26 E Congress Pkwy, 312-922-2233,cafecitochicago.com
46,Kufta,Chickpea,8, 2018 W Chicago Ave, 773-384-9930,chickpeaonthego.com
47,Debbie’s Egg Salad,The Goddess and Grocer,6,50 25 E Delaware Pl, 312-896-2600,goddessandgrocer.com
48,Beef Curry,Zenwich,7,50 416 N York St, 630-359-5234,eatmyzenwich.com
49,Le Végétarien,Toni Patisserie,8,75 65 E Washington St, 312-726-2020,tonipatisserie.com
50,The Gatsby,Phoebe’s Bakery,6,85 3351 N Broadway, 773-868-4000,phoebesbakery.com
