,광역시도,시도,20~39세계,20~39세여자,65세 이상계,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역,ID
0,강원, 강릉시,46008,20993,40497,203057,101154,101903,0.518384077832926,False,강릉
1,강원, 고성군,4006,1699,7005,23621,11933,11688,0.24254104211277655,True,고성(강원)
2,강원, 동해시,16311,7510,16152,83888,42093,41795,0.4649578999504706,True,동해
3,강원, 삼척시,12428,5280,14953,61833,31630,30203,0.35310640005350097,True,삼척
4,강원, 속초시,15928,7411,14010,76302,37488,38814,0.5289793004996431,False,속초
5,강원, 양구군,4656,2016,4123,19900,10272,9628,0.4889643463497453,True,양구
6,강원, 양양군,4020,1810,7405,25125,12599,12526,0.2444294395678596,True,양양
7,강원, 영월군,4983,2227,10051,34342,17530,16812,0.2215699930355189,True,영월
8,강원, 원주시,83196,40779,46837,329874,163155,166719,0.8706578132672886,False,원주
9,강원, 인제군,6320,2739,5793,28219,14807,13412,0.472812014500259,True,인제
10,강원, 정선군,5007,2222,8810,32728,16876,15852,0.2522133938706016,True,정선
11,강원, 철원군,8373,3767,9045,40147,20255,19892,0.416473189607518,True,철원
12,강원, 춘천시,66567,32994,44624,265695,129655,136040,0.7393779132305486,False,춘천
13,강원, 태백시,6857,3211,9412,40467,20307,20160,0.3411602209944751,True,태백
14,강원, 평창군,5597,2544,10304,37624,19034,18590,0.2468944099378882,True,평창
15,강원, 홍천군,10966,4987,15824,62531,31608,30923,0.3151541961577351,True,홍천
16,강원, 화천군,5189,2166,4863,21700,11302,10398,0.44540407156076495,True,화천
17,강원, 횡성군,6502,3045,11883,41427,20919,20508,0.2562484221156274,True,횡성
18,경기, 가평군,10406,4848,13649,55249,27803,27446,0.3551908564730017,True,가평
19,경기, 고양시,512848,264648,253074,1978000,957630,1020370,1.0457336589297992,False,고양
20,경기, 과천시,13196,6605,7335,52389,25565,26824,0.9004771642808452,False,과천
21,경기, 광명시,79498,39850,39032,300735,146975,153760,1.0209571633531462,False,광명
