,ID,버거킹,맥도날드,롯데리아,KFC,맘스터치,버거지수,인구수계,y,x
0,강릉,1.0,1.0,5.0,0.0,4.0,2.0,203057.0,3,11
1,거제,4.0,3.0,4.0,0.0,2.0,7.0,232585.0,22,8
2,경산,4.0,0.0,8.0,2.0,3.0,4.18,255939.0,12,11
3,경주,1.0,4.0,8.0,1.0,3.0,5.09,239382.0,12,12
4,고양 덕양,3.0,8.0,9.0,2.0,2.0,11.18,434496.0,3,4
5,고양 일산동,7.0,8.0,5.0,3.0,0.0,15.6,274192.0,2,4
6,고양 일산서,2.0,1.0,9.0,2.0,2.0,3.18,280312.0,3,3
7,광명,1.0,5.0,1.0,1.0,0.0,7.0,300735.0,4,4
8,광양,1.0,1.0,2.0,0.0,0.0,2.0,136701.0,21,5
9,광주,1.0,0.0,6.0,0.0,3.0,1.0,350406.0,7,9
10,광주 광산,3.0,3.0,10.0,1.0,1.0,6.09,392634.0,21,2
11,광주 동구,2.0,0.0,3.0,0.0,0.0,2.0,95738.0,23,3
12,광주 북구,4.0,5.0,5.0,2.0,0.0,9.4,422264.0,22,3
13,광주 서구,3.0,3.0,13.0,4.0,1.0,6.29,289981.0,22,2
14,구리,1.0,3.0,2.0,3.0,0.0,5.5,187625.0,3,8
15,구미,6.0,7.0,8.0,1.0,1.0,13.11,396338.0,10,10
16,군산,1.0,3.0,7.0,0.0,1.0,4.0,253097.0,16,2
17,군포,1.0,2.0,5.0,0.0,0.0,3.0,261123.0,9,5
18,김천,1.0,1.0,3.0,0.0,2.0,2.0,129665.0,11,9
19,김포,4.0,5.0,8.0,5.0,3.0,9.45,410416.0,4,2
20,김해,3.0,9.0,10.0,4.0,1.0,12.36,509414.0,20,9
21,남양주,4.0,6.0,4.0,2.0,10.0,10.14,658410.0,2,7
22,대구 남구,1.0,2.0,1.0,2.0,2.0,3.67,141016.0,15,9
23,대구 달서,3.0,16.0,7.0,3.0,2.0,19.33,549980.0,16,8
24,대구 달성,2.0,2.0,5.0,0.0,0.0,4.0,243000.0,16,9
25,대구 동구,3.0,4.0,10.0,0.0,2.0,7.0,328007.0,15,10
26,대구 북구,5.0,4.0,7.0,3.0,0.0,9.43,425333.0,14,8
27,대구 서구,1.0,1.0,5.0,1.0,1.0,2.17,167446.0,15,8
28,대구 수성,6.0,12.0,10.0,2.0,1.0,18.18,405234.0,14,10
29,대구 중구,6.0,5.0,7.0,5.0,0.0,11.71,72483.0,14,9
30,대전 동구,2.0,3.0,9.0,0.0,1.0,5.0,221955.0,14,5
31,대전 서구,11.0,7.0,11.0,5.0,3.0,18.36,463747.0,16,4
32,대전 유성,3.0,2.0,11.0,2.0,1.0,5.17,336354.0,15,4
33,대전 중구,5.0,8.0,8.0,3.0,3.0,13.27,227181.0,15,5
34,동두천,2.0,1.0,1.0,0.0,1.0,3.0,87789.0,1,4
35,목포,2.0,5.0,4.0,0.0,2.0,7.0,217091.0,22,0
36,무안,1.0,1.0,2.0,0.0,0.0,2.0,73190.0,21,1
37,부산 금정,2.0,4.0,4.0,1.0,2.0,6.17,228110.0,16,10
38,부산 기장,1.0,2.0,5.0,0.0,1.0,3.0,154532.0,16,12
39,부산 남구,3.0,3.0,3.0,0.0,2.0,6.0,262984.0,19,11
40,부산 동래,2.0,12.0,5.0,0.0,2.0,14.0,254552.0,16,11
41,부산 부산진,1.0,10.0,8.0,2.0,4.0,11.17,339223.0,17,10
42,부산 사상,1.0,5.0,3.0,1.0,1.0,6.25,209051.0,18,9
43,부산 연제,2.0,7.0,5.0,0.0,0.0,9.0,197985.0,17,11
44,부산 중구,2.0,1.0,2.0,2.0,2.0,3.5,38566.0,18,11
45,부산 해운대,7.0,9.0,12.0,0.0,3.0,16.0,379986.0,17,12
46,부천,7.0,9.0,5.0,3.0,4.0,16.33,789832.0,5,2
47,사천,1.0,1.0,3.0,0.0,1.0,2.0,103059.0,21,6
48,상주,1.0,0.0,2.0,0.0,0.0,1.0,90827.0,11,8
49,서산,1.0,1.0,5.0,0.0,1.0,2.0,163658.0,13,1
50,서울 강남,24.0,14.0,8.0,10.0,1.0,39.11,493492.0,8,6
51,서울 강동,6.0,7.0,7.0,2.0,1.0,13.25,403443.0,5,8
52,서울 강서,8.0,8.0,9.0,5.0,3.0,16.42,559359.0,6,4
53,서울 관악,4.0,2.0,6.0,2.0,2.0,6.25,472796.0,7,5
54,서울 광진,4.0,4.0,9.0,3.0,1.0,8.3,331747.0,6,7
55,서울 구로,4.0,6.0,4.0,0.0,0.0,10.0,386239.0,9,4
56,서울 금천,2.0,6.0,4.0,2.0,1.0,8.4,219896.0,8,5
57,서울 노원,1.0,5.0,5.0,7.0,1.0,7.17,504967.0,2,6
58,서울 도봉,4.0,3.0,2.0,1.0,0.0,7.5,315032.0,2,5
59,서울 동대문,3.0,6.0,7.0,0.0,3.0,9.0,327897.0,4,7
60,서울 동작,2.0,4.0,6.0,2.0,1.0,6.29,374478.0,6,5
61,서울 마포,5.0,5.0,8.0,4.0,3.0,10.36,348755.0,5,5
62,서울 서대문,11.0,4.0,9.0,4.0,3.0,15.33,291958.0,4,5
63,서울 서초,12.0,9.0,7.0,6.0,0.0,21.86,391520.0,7,6
64,서울 성동,2.0,3.0,8.0,1.0,4.0,5.08,283330.0,5,7
65,서울 성북,5.0,3.0,10.0,0.0,4.0,8.0,418403.0,3,6
66,서울 송파,5.0,7.0,12.0,1.0,1.0,12.08,629275.0,6,8
67,서울 양천,6.0,7.0,4.0,0.0,2.0,13.0,429819.0,7,4
68,서울 영등포,7.0,5.0,8.0,1.0,2.0,12.1,341509.0,8,4
69,서울 용산,2.0,2.0,11.0,2.0,0.0,4.18,204196.0,6,6
70,서울 은평,5.0,4.0,2.0,1.0,2.0,9.25,447693.0,5,4
71,서울 종로,3.0,7.0,2.0,0.0,3.0,10.0,136649.0,4,6
72,서울 중구,15.0,4.0,5.0,3.0,1.0,19.5,115665.0,5,6
73,서울 중랑,4.0,3.0,3.0,0.0,1.0,7.0,374640.0,4,8
74,성남 분당,13.0,9.0,6.0,7.0,4.0,22.7,450949.0,8,7
75,성남 수정,3.0,2.0,2.0,0.0,0.0,5.0,221396.0,8,8
