,상호명,지점명,도로명주소,경도,위도,ID
0,버거킹오션월드,,강원도 홍천군 서면 한치골길 262,127.687272903554,37.652323738755705,홍천
1,로데오,,강원도 강릉시 경강로 2090-1,128.895743162693,37.7542445133823,강릉
2,왕눈이도넛츠,,강원도 영월군 영월읍 삼옥재길 2,128.476233572028,37.20998099421049,영월
3,씨지브이원주2,,강원도 원주시 서원대로 171,127.93079833298701,37.3448158723054,원주
4,베스킨라벤스,,강원도 삼척시 진주로 35,129.16371767884502,37.443797405735296,삼척
5,빅샌샌드위치,,강원도 춘천시 김유정로 1897,127.73782814980801,37.8553447664576,춘천
6,사랑의도시락사업장,,강원도 태백시 서학1길 58,128.98263075926099,37.155121496286505,태백
7,형제우,동본점,강원도 강릉시 경강로 2115,128.89779543101002,37.755976879832296,강릉
8,이용우피자하우스씨씨홈치킨,,강원도 춘천시 퇴계로 205,127.74132283160601,37.8569022693425,춘천
9,"네네치킨,피자",,강원도 철원군 갈말읍 두루미로 414,127.29778972059201,38.2041184927332,철원
10,바로피자앤돈가스,,강원도 화천군 사내면 문화마을1길 7,127.524577269443,38.0680000829145,화천
11,MARENA,,강원도 원주시 무실로 27,127.949182525611,37.3475105119334,원주
12,아이러브피자포남시장점,포남시장점,강원도 강릉시 경강로 2243-1,128.907872665308,37.7643152124254,강릉
13,링팡도너츠,,강원도 춘천시 평화로 1,127.716976636071,37.8846700486655,춘천
14,피자스쿨,단계점,강원도 원주시 백간길 75,127.931773710827,37.352070389896,원주
15,씨지브이춘천골드매점,,강원도 춘천시 지석로 80,127.743742788555,37.8505192424444,춘천
16,피자가기가막혀,,강원도 동해시 효자남길 4,129.108554793637,37.486469793537296,동해
17,배스킨31라빈스,,강원도 원주시 서원대로 396,127.94885527886998,37.330749660896394,원주
18,도미노피자남원주점,남원주점,강원도 원주시 남원로 623,127.951592175469,37.3389419394728,원주
19,아이리쉬포테이토강릉씨네몰점,강릉씨네몰점,강원도 강릉시 경강로 2120,128.898631873341,37.7557001986643,강릉
20,영월지역자활센터나눔도시락,,강원도 영월군 영월읍 단종로 12,128.468539650333,37.1846359361383,영월
21,스타크레페,,강원도 원주시 서원대로 171,127.93079833298701,37.3448158723054,원주
22,프린스치킨피자,,강원도 원주시 남원로606번길 2,127.952112907004,37.3364460664984,원주
23,굿도너츠,,강원도 속초시 설악금강대교로 12,128.595728650515,38.1910573879462,속초
24,인더가든2,,강원도 춘천시 남산면 햇골길 80,127.542154286217,37.8327975101837,춘천
25,한솥,,강원도 원주시 치악로 1773-1,127.955563535975,37.341052102839704,원주
26,피자몰,,강원도 춘천시 방송길 84,127.718061133766,37.86858028828971,춘천
27,스위트번스,,강원도 강릉시 금성로56번길 8,128.89497471329,37.752628511575395,강릉
28,그안,,강원도 강릉시 금성로56번길 13,128.894558672412,37.752947027815296,강릉
29,석봉토스트,,강원도 원주시 남원로 654,127.954073751807,37.3410785673273,원주
30,마귀할멈지팡이아이스크림,,강원도 속초시 청초호반로 326-1,128.591831686156,38.2032401883356,속초
31,쏘자,핫도그속초점,강원도 속초시 동해대로 4135,128.581935383944,38.1892615468111,속초
32,피자스타,,강원도 동해시 청운로 78,129.103167466309,37.486898661775605,동해
33,치악춘천휴게소스태프코너,,강원도 원주시 신림면 다리실2길 32,128.048743816553,37.2568317675516,원주
34,석봉토스트정선점,정선점,강원도 정선군 정선읍 5일장길 38-5,128.664719513453,37.3803281211478,정선
35,피자시치킨면쏘주리,,강원도 원주시 나비허리길 188,127.964671693498,37.3164006642524,원주
36,베스킨라빈스강릉대학로,,강원도 강릉시 경강로 2096,128.896189398253,37.7545474684864,강릉
37,송탄햄버거,,강원도 철원군 서면 와수로 175,127.438451335032,38.2392023834219,철원
