,일자,구분,확진자,확진률,사망자,사망률
0,2020-04-02,0-9,112,1.14,0,0.0
1,2020-04-02,10-19,515,5.26,0,0.0
2,2020-04-02,20-29,2656,27.14,0,0.0
3,2020-04-02,30-39,1012,10.34,1,0.62
4,2020-04-02,40-49,1312,13.41,1,0.62
5,2020-04-02,50-59,1851,18.91,10,6.17
6,2020-04-02,60-69,1235,12.62,22,13.58
7,2020-04-02,70-79,651,6.65,46,28.4
8,2020-04-02,80 이상,442,4.52,82,50.62
9,2020-04-02,여성,5881,60.1,80,49.38
10,2020-04-02,남성,3905,39.9,82,50.62
11,2020-04-07,0-11,1,1.0,1,1.0
12,2020-04-07,0-9,126,1.22,0,0.0
13,2020-04-07,10-19,544,5.27,0,0.0
14,2020-04-07,20-29,2819,27.29,0,0.0
15,2020-04-07,30-39,1092,10.57,1,0.52
16,2020-04-07,40-49,1382,13.38,2,1.04
17,2020-04-07,50-59,1909,18.48,13,6.77
18,2020-04-07,60-69,1304,12.62,26,13.54
19,2020-04-07,70-79,689,6.67,57,29.69
20,2020-04-07,80 이상,466,4.51,93,48.44
21,2020-04-07,여성,6193,59.95,91,47.4
22,2020-04-07,남성,4138,40.05,101,52.6
23,2020-04-08,0-9,126,1.21,0,0.0
24,2020-04-08,10-19,548,5.28,0,0.0
25,2020-04-08,20-29,2832,27.27,0,0.0
26,2020-04-08,30-39,1102,10.61,1,0.5
27,2020-04-08,40-49,1387,13.36,3,1.5
28,2020-04-08,50-59,1915,18.44,13,6.5
29,2020-04-08,60-69,1312,12.63,27,13.5
30,2020-04-08,70-79,692,6.66,60,30.0
31,2020-04-08,80 이상,470,4.53,96,48.0
32,2020-04-08,여성,6221,59.91,94,47.0
33,2020-04-08,남성,4163,40.09,106,53.0
34,2020-04-09,0-9,128,1.23,0,0.0
35,2020-04-09,10-19,552,5.3,0,0.0
36,2020-04-09,20-29,2844,27.29,0,0.0
37,2020-04-09,30-39,1109,10.64,1,0.49
38,2020-04-09,40-49,1394,13.37,3,1.47
39,2020-04-09,50-59,1917,18.39,13,6.37
40,2020-04-09,60-69,1314,12.61,27,13.24
41,2020-04-09,70-79,692,6.64,60,29.41
42,2020-04-09,80 이상,473,4.54,100,49.02
43,2020-04-09,여성,6238,59.85,97,47.55
44,2020-04-09,남성,4185,40.15,107,52.45
45,2020-04-10,0-9,129,1.23,0,0.0
46,2020-04-10,10-19,553,5.29,0,0.0
47,2020-04-10,20-29,2851,27.28,0,0.0
48,2020-04-10,30-39,1113,10.65,1,0.48
49,2020-04-10,40-49,1396,13.36,3,1.44
50,2020-04-10,50-59,1920,18.37,13,6.25
51,2020-04-10,60-69,1320,12.63,28,13.46
