,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,지역
0,서울특별시,9679771,4412343,2.19,4708321,4971450,0.95,서울
1,부산광역시,3395514,1527721,2.22,1663055,1732459,0.96,부산
2,대구광역시,2421859,1054637,2.3,1195081,1226778,0.97,대구
3,인천광역시,2942307,1264300,2.33,1473795,1468512,1.0,인천
4,광주광역시,1451993,632264,2.3,718370,733623,0.98,광주
5,대전광역시,1465893,651488,2.25,731701,734192,1.0,대전
6,울산광역시,1137345,476112,2.39,584305,553040,1.06,울산
7,세종특별자치시,353430,142912,2.47,176336,177094,1.0,세종
8,경기도,13413459,5658580,2.37,6748061,6665398,1.01,경기
9,강원도,1542374,734819,2.1,776079,766295,1.01,강원
10,충청북도,1599680,742087,2.16,810903,788777,1.03,충북
11,충청남도,2120607,980711,2.16,1082311,1038296,1.04,충남
12,전라북도,1805204,834858,2.16,897393,907811,0.99,전북
13,전라남도,1850557,890570,2.08,929986,920571,1.01,전남
14,경상북도,2639245,1251445,2.11,1328939,1310306,1.01,경북
15,경상남도,3341063,1481086,2.26,1681719,1659344,1.01,경남
16,제주특별자치도,674001,301100,2.24,338312,335689,1.01,제주
