,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
0,2020-03-04,제주,0,3,0,0,0,0,0,0.4
1,2020-03-04,경남,0,65,1,0,0,0,0,1.9
2,2020-03-04,경북,6,774,89,0,0,0,0,29.1
3,2020-03-04,전남,0,5,0,0,0,0,0,0.3
4,2020-03-04,전북,0,7,0,0,0,0,0,0.4
5,2020-03-04,충남,0,82,1,0,0,0,0,3.9
6,2020-03-04,충북,0,11,0,0,0,0,0,0.7
7,2020-03-04,강원,0,21,1,0,0,0,0,1.4
8,2020-03-04,경기,1,101,7,0,0,0,0,0.8
9,2020-03-04,세종,0,1,0,0,0,0,0,0.3
10,2020-03-04,울산,0,23,3,0,0,0,0,0.0
11,2020-03-04,대전,0,15,1,0,0,0,0,0.0
12,2020-03-04,광주,0,13,2,0,0,0,0,0.9
13,2020-03-04,인천,0,9,2,0,0,0,0,0.3
14,2020-03-04,대구,24,4006,405,0,0,0,0,164.4
15,2020-03-04,부산,1,93,3,0,0,0,0,2.7
16,2020-03-04,서울,0,99,1,0,0,0,0,0.0
17,2020-03-04,합계,32,5328,516,0,0,0,0,10.3
18,2020-03-05,제주,0,4,1,0,0,0,0,0.6
19,2020-03-05,경남,0,74,9,0,0,0,0,2.2
20,2020-03-05,경북,6,861,87,0,0,0,0,32.3
21,2020-03-05,전남,0,4,-1,0,0,0,0,0.2
22,2020-03-05,전북,0,7,0,0,0,0,0,0.4
23,2020-03-05,충남,0,86,4,0,0,0,0,4.1
24,2020-03-05,충북,0,12,1,0,0,0,0,0.8
25,2020-03-05,강원,0,23,2,0,0,0,0,1.5
26,2020-03-05,경기,1,110,9,0,0,0,0,0.8
27,2020-03-05,세종,0,1,0,0,0,0,0,0.3
28,2020-03-05,울산,0,23,0,0,0,0,0,2.0
29,2020-03-05,대전,0,16,1,0,0,0,0,1.1
30,2020-03-05,광주,0,14,1,0,0,0,0,1.0
31,2020-03-05,인천,0,9,0,0,0,0,0,0.3
32,2020-03-05,대구,27,4327,321,0,0,0,0,177.6
33,2020-03-05,부산,1,92,-1,0,0,0,0,2.7
34,2020-03-05,서울,0,103,4,0,0,0,0,1.1
35,2020-03-05,합계,35,5766,438,0,0,0,0,11.1
36,2020-03-06,제주,0,4,0,0,0,0,0,0.6
37,2020-03-06,경남,0,77,3,0,0,0,0,2.3
38,2020-03-06,경북,10,984,123,0,0,0,0,0.0
39,2020-03-06,전남,0,4,0,0,0,0,0,0.2
40,2020-03-06,전북,0,7,0,0,0,0,0,0.4
41,2020-03-06,충남,0,90,4,0,0,0,0,4.2
42,2020-03-06,충북,0,15,3,0,0,0,0,0.9
