,일자,대륙,국가,확진자,사망자,사망률
0,2020-11-21,기타,기타지역 영토,194632,2371,1.2181963911
1,2020-11-21,아프리카,레소토,2058,44,2.1379980563
2,2020-11-21,아프리카,코모로,592,7,1.1824324324
3,2020-11-21,아프리카,상투메프린시페,974,16,1.6427104722
4,2020-11-21,아프리카,남수단,3016,59,1.9562334217
5,2020-11-21,아프리카,말라위,6002,185,3.082305898
6,2020-11-21,아프리카,시에라리온,2397,74,3.0871923237
7,2020-11-21,아프리카,브룬디,649,1,0.1540832049
8,2020-11-21,아프리카,보츠와나,9594,31,0.3231186158
9,2020-11-21,아프리카,말리,4093,142,3.4693378939
10,2020-11-21,아프리카,기니비사우,2421,43,1.7761255679
11,2020-11-21,아프리카,모잠비크,14723,120,0.8150512803
12,2020-11-21,아프리카,우간다,17148,158,0.9213902495
13,2020-11-21,아프리카,에리트레아,527,0,0.0
14,2020-11-21,아프리카,앙골라,14134,333,2.3560209424
15,2020-11-21,아프리카,마다가스카르,17310,250,1.4442518775
16,2020-11-21,아프리카,소말리아,4382,108,2.4646280237
17,2020-11-21,아프리카,짐바브웨,9046,265,2.9294715896
18,2020-11-21,아프리카,카보베르데,10082,104,1.0315413608
19,2020-11-21,아프리카,니제르,1335,70,5.2434456928
20,2020-11-21,아프리카,차드,1620,101,6.2345679012
21,2020-11-21,아프리카,모리셔스,491,10,2.0366598778
22,2020-11-21,아프리카,잠비아,17350,356,2.0518731988
23,2020-11-21,아프리카,감비아,3706,122,3.2919589854
24,2020-11-21,아프리카,지부티,5658,61,1.0781194768
25,2020-11-21,아프리카,탄자니아,509,21,4.1257367387
26,2020-11-21,아프리카,라이베리아,1539,82,5.3281351526
27,2020-11-21,아프리카,베냉,2916,43,1.4746227709
28,2020-11-21,아프리카,세이쉘,161,0,0.0
29,2020-11-21,아프리카,르완다,5543,46,0.8298755186
30,2020-11-21,아프리카,모리타니아,7952,165,2.0749496981
31,2020-11-21,아프리카,에스와티니,6156,119,1.9330734243
32,2020-11-21,아프리카,적도기니,5121,85,1.659832064
33,2020-11-21,아프리카,콩고,5632,93,1.651278409
34,2020-11-21,아프리카,중앙아프리카공화국,4911,63,1.2828344532
35,2020-11-21,아프리카,나미비아,13662,141,1.0320597277
36,2020-11-21,아프리카,케냐,74145,1330,1.7937824533
37,2020-11-21,아프리카,기니,12713,75,0.589947298
38,2020-11-21,아프리카,가나,50631,323,0.6379490825
39,2020-11-21,아프리카,가봉,9116,59,0.6472136902
40,2020-11-21,아프리카,에티오피아,104427,1607,1.5388740459
41,2020-11-21,아프리카,수단,15299,1179,7.7063860383
42,2020-11-21,아프리카,코트디부아르,21083,129,0.6118673813
43,2020-11-21,아프리카,DR콩고,12007,323,2.6900974431
44,2020-11-21,아프리카,부르키나파소,2686,68,2.5316455696
45,2020-11-21,아프리카,토고,2771,63,2.2735474557
46,2020-11-21,아프리카,남아프리카공화국,759658,20671,2.7210929128
47,2020-11-21,아프리카,카메룬,23528,435,1.8488609316
